timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762354080958045189,MovAvgCrossMin,294973,BUY,6807.50,1,0.00,2.17
1762354264208937687,MovAvgCrossMin,294973,SELL,6812.50,1,250.00,2.17
1762355888623728783,MovAvgCrossMin,294973,SELL,6818.50,1,0.00,2.17
1762356076714487431,MovAvgCrossMin,294973,BUY,6813.50,1,250.00,2.17
1762356650742629179,MovAvgCrossMin,294973,BUY,6821.50,1,0.00,2.17
1762356828699272391,MovAvgCrossMin,294973,SELL,6826.50,1,250.00,2.17
1762357923483612449,MovAvgCrossMin,294973,SELL,6823.25,1,0.00,2.17
1762358198555957503,MovAvgCrossMin,294973,BUY,6818.25,1,250.00,2.17
1762358767983374165,MovAvgCrossMin,294973,BUY,6826.75,1,0.00,2.17
1762359135020893683,MovAvgCrossMin,294973,SELL,6819.75,1,-350.00,2.17
1762359365908974721,MovAvgCrossMin,294973,SELL,6820.00,1,0.00,2.17
1762359888281871931,MovAvgCrossMin,294973,BUY,6827.00,1,-350.00,2.17
1762360086139137279,MovAvgCrossMin,294973,BUY,6830.50,1,0.00,2.17
1762360806489597267,MovAvgCrossMin,294973,SELL,6835.50,1,250.00,2.17
1762362491614064601,MovAvgCrossMin,294973,SELL,6841.25,1,0.00,2.17
1762363662028815915,MovAvgCrossMin,294973,BUY,6848.25,1,-350.00,2.17
1762363697725112993,MovAvgCrossMin,294973,BUY,6848.75,1,0.00,2.17
1762364140431026589,MovAvgCrossMin,294973,SELL,6853.75,1,250.00,2.17
1762365189340841049,MovAvgCrossMin,294973,SELL,6853.00,1,0.00,2.17
1762369696008710723,MovAvgCrossMin,294973,BUY,6848.00,1,250.00,2.17
1762370327220082643,MovAvgCrossMin,294973,BUY,6853.00,1,0.00,2.17
1762374475570260425,MovAvgCrossMin,294973,SELL,6846.00,1,-350.00,2.17
1762374544187014833,MovAvgCrossMin,294973,SELL,6847.75,1,0.00,2.17
1762375437410182823,MovAvgCrossMin,294973,BUY,6842.75,1,250.00,2.17
